"BehaviorSpace results (NetLogo 6.0.3)"
"Evacuation.nlogo"
"door-proximity"
"06/09/2018 22:13:05:201 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","building-type","number-of-doors","door-proximity","show-checkpoints","number-of-people","hallway-size","number-of-rooms","[step]","ticks","average-time-to-evacuate"
"3","build my own!","2","1","false","25","31","0","83","83","45.84"
"2","build my own!","2","1","false","25","31","0","82","82","51.64"
"4","build my own!","2","1","false","25","31","0","84","84","45.72"
"5","build my own!","2","1","false","25","31","0","76","76","44.52"
"6","build my own!","2","1","false","25","31","0","81","81","46.92"
"7","build my own!","2","1","false","25","31","0","82","82","50.92"
"8","build my own!","2","1","false","25","31","0","85","85","40.32"
"10","build my own!","2","1","false","25","31","0","84","84","44.76"
"9","build my own!","2","1","false","25","31","0","82","82","47.6"
"11","build my own!","2","1","false","25","31","0","74","74","44.36"
"13","build my own!","2","1","false","25","31","0","82","82","40.76"
"12","build my own!","2","1","false","25","31","0","81","81","52.96"
"14","build my own!","2","1","false","25","31","0","82","82","50.92"
"15","build my own!","2","1","false","25","31","0","84","84","48.84"
"16","build my own!","2","1","false","25","31","0","80","80","53.36"
"17","build my own!","2","1","false","25","31","0","83","83","52.2"
"18","build my own!","2","1","false","25","31","0","71","71","42.16"
"19","build my own!","2","1","false","25","31","0","85","85","50.48"
"20","build my own!","2","1","false","25","31","0","77","77","38.84"
"21","build my own!","2","1","false","25","31","0","84","84","55.08"
"22","build my own!","2","1","false","25","31","0","79","79","46.36"
"23","build my own!","2","1","false","25","31","0","84","84","41.64"
"24","build my own!","2","1","false","25","31","0","87","87","54.88"
"25","build my own!","2","1","false","25","31","0","79","79","45.64"
"26","build my own!","2","1","false","50","31","0","84","84","50.96"
"28","build my own!","2","1","false","50","31","0","83","83","49.68"
"27","build my own!","2","1","false","50","31","0","81","81","50.3"
"29","build my own!","2","1","false","50","31","0","83","83","44.94"
"30","build my own!","2","1","false","50","31","0","86","86","48.14"
"31","build my own!","2","1","false","50","31","0","85","85","54.46"
"1","build my own!","2","1","false","25","31","0","80","80","49.64"
"32","build my own!","2","1","false","50","31","0","91","91","50.52"
"33","build my own!","2","1","false","50","31","0","78","78","45.52"
"34","build my own!","2","1","false","50","31","0","82","82","50.88"
"36","build my own!","2","1","false","50","31","0","81","81","47.2"
"37","build my own!","2","1","false","50","31","0","86","86","47.56"
"38","build my own!","2","1","false","50","31","0","80","80","43.36"
"39","build my own!","2","1","false","50","31","0","83","83","49.54"
"40","build my own!","2","1","false","50","31","0","86","86","49.8"
"41","build my own!","2","1","false","50","31","0","85","85","48.94"
"42","build my own!","2","1","false","50","31","0","79","79","47.42"
"43","build my own!","2","1","false","50","31","0","87","87","54.42"
"44","build my own!","2","1","false","50","31","0","86","86","50.72"
"45","build my own!","2","1","false","50","31","0","80","80","47.68"
"46","build my own!","2","1","false","50","31","0","83","83","47.2"
"47","build my own!","2","1","false","50","31","0","87","87","47.86"
"49","build my own!","2","1","false","50","31","0","80","80","45.48"
"48","build my own!","2","1","false","50","31","0","83","83","53.46"
"50","build my own!","2","1","false","50","31","0","87","87","45.7"
"52","build my own!","2","1","false","100","31","0","113","113","63.53"
"53","build my own!","2","1","false","100","31","0","111","111","60.79"
"51","build my own!","2","1","false","100","31","0","115","115","63.91"
"35","build my own!","2","1","false","50","31","0","84","84","51.76"
"54","build my own!","2","1","false","100","31","0","111","111","62.28"
"55","build my own!","2","1","false","100","31","0","116","116","64.32"
"56","build my own!","2","1","false","100","31","0","118","118","65.53"
"58","build my own!","2","1","false","100","31","0","114","114","63.54"
"60","build my own!","2","1","false","100","31","0","110","110","61.93"
"59","build my own!","2","1","false","100","31","0","113","113","63.84"
"62","build my own!","2","1","false","100","31","0","117","117","62.67"
"63","build my own!","2","1","false","100","31","0","112","112","62.56"
"61","build my own!","2","1","false","100","31","0","118","118","68.43"
"64","build my own!","2","1","false","100","31","0","119","119","63.93"
"65","build my own!","2","1","false","100","31","0","114","114","62.13"
"66","build my own!","2","1","false","100","31","0","114","114","62.6"
"57","build my own!","2","1","false","100","31","0","113","113","63.87"
"69","build my own!","2","1","false","100","31","0","116","116","66.52"
"67","build my own!","2","1","false","100","31","0","120","120","64.84"
"68","build my own!","2","1","false","100","31","0","118","118","65.9"
"70","build my own!","2","1","false","100","31","0","117","117","64.73"
"71","build my own!","2","1","false","100","31","0","118","118","65.54"
"73","build my own!","2","1","false","100","31","0","117","117","67.11"
"72","build my own!","2","1","false","100","31","0","119","119","66.67"
"74","build my own!","2","1","false","100","31","0","118","118","65.67"
"75","build my own!","2","1","false","100","31","0","110","110","60.46"
"76","build my own!","2","1","false","150","31","0","167","167","88.37333333333333"
"77","build my own!","2","1","false","150","31","0","171","171","91.38666666666667"
"78","build my own!","2","1","false","150","31","0","163","163","88.13333333333334"
"79","build my own!","2","1","false","150","31","0","155","155","83.38"
"81","build my own!","2","1","false","150","31","0","156","156","80.91333333333333"
"80","build my own!","2","1","false","150","31","0","163","163","88.12666666666667"
"82","build my own!","2","1","false","150","31","0","166","166","87"
"83","build my own!","2","1","false","150","31","0","181","181","94.87333333333333"
"84","build my own!","2","1","false","150","31","0","169","169","91.48"
"85","build my own!","2","1","false","150","31","0","175","175","94.38"
"86","build my own!","2","1","false","150","31","0","166","166","91.14666666666666"
"87","build my own!","2","1","false","150","31","0","161","161","84.44666666666667"
"88","build my own!","2","1","false","150","31","0","164","164","89.56"
"89","build my own!","2","1","false","150","31","0","172","172","90.40666666666667"
"90","build my own!","2","1","false","150","31","0","165","165","86.92666666666666"
"91","build my own!","2","1","false","150","31","0","175","175","94.56666666666666"
"92","build my own!","2","1","false","150","31","0","175","175","93.47333333333333"
"93","build my own!","2","1","false","150","31","0","169","169","89.88666666666667"
"95","build my own!","2","1","false","150","31","0","154","154","79.51333333333334"
"94","build my own!","2","1","false","150","31","0","175","175","92.12666666666667"
"96","build my own!","2","1","false","150","31","0","162","162","85.5"
"97","build my own!","2","1","false","150","31","0","163","163","88.12"
"98","build my own!","2","1","false","150","31","0","170","170","91.98"
"99","build my own!","2","1","false","150","31","0","167","167","88.55333333333333"
"100","build my own!","2","1","false","150","31","0","173","173","91.34666666666666"
"101","build my own!","2","1","false","200","31","0","225","225","117.295"
"102","build my own!","2","1","false","200","31","0","220","220","112.33"
"103","build my own!","2","1","false","200","31","0","220","220","115.285"
"104","build my own!","2","1","false","200","31","0","218","218","112.995"
"105","build my own!","2","1","false","200","31","0","205","205","106.15"
"106","build my own!","2","1","false","200","31","0","207","207","107.32"
"107","build my own!","2","1","false","200","31","0","205","205","107.51"
"108","build my own!","2","1","false","200","31","0","220","220","115.525"
"109","build my own!","2","1","false","200","31","0","222","222","117.1"
"110","build my own!","2","1","false","200","31","0","218","218","114.075"
"112","build my own!","2","1","false","200","31","0","218","218","112.195"
"111","build my own!","2","1","false","200","31","0","214","214","111.29"
"113","build my own!","2","1","false","200","31","0","215","215","107.325"
"114","build my own!","2","1","false","200","31","0","211","211","112.045"
"115","build my own!","2","1","false","200","31","0","215","215","108.825"
"116","build my own!","2","1","false","200","31","0","216","216","115.76"
"117","build my own!","2","1","false","200","31","0","216","216","112.985"
"118","build my own!","2","1","false","200","31","0","218","218","116.325"
"119","build my own!","2","1","false","200","31","0","211","211","111.95"
"120","build my own!","2","1","false","200","31","0","217","217","111.86"
"121","build my own!","2","1","false","200","31","0","207","207","107.02"
"122","build my own!","2","1","false","200","31","0","213","213","112.35"
"123","build my own!","2","1","false","200","31","0","215","215","115.705"
"124","build my own!","2","1","false","200","31","0","219","219","112.805"
"125","build my own!","2","1","false","200","31","0","225","225","117.115"
"126","build my own!","2","1","false","250","31","0","269","269","137.008"
"127","build my own!","2","1","false","250","31","0","265","265","137.2"
"129","build my own!","2","1","false","250","31","0","265","265","134.604"
"128","build my own!","2","1","false","250","31","0","264","264","136.336"
"130","build my own!","2","1","false","250","31","0","269","269","137.492"
"131","build my own!","2","1","false","250","31","0","269","269","136.928"
"132","build my own!","2","1","false","250","31","0","261","261","132.848"
"133","build my own!","2","1","false","250","31","0","260","260","136.196"
"134","build my own!","2","1","false","250","31","0","272","272","138.76"
"135","build my own!","2","1","false","250","31","0","265","265","135.66"
"136","build my own!","2","1","false","250","31","0","277","277","143.92"
"137","build my own!","2","1","false","250","31","0","276","276","142.856"
"138","build my own!","2","1","false","250","31","0","276","276","139.944"
"139","build my own!","2","1","false","250","31","0","270","270","136.9"
"140","build my own!","2","1","false","250","31","0","270","270","141.8"
"141","build my own!","2","1","false","250","31","0","269","269","140.016"
"142","build my own!","2","1","false","250","31","0","270","270","140.368"
"143","build my own!","2","1","false","250","31","0","268","268","139.848"
"144","build my own!","2","1","false","250","31","0","273","273","142.82"
"145","build my own!","2","1","false","250","31","0","268","268","135.216"
"146","build my own!","2","1","false","250","31","0","263","263","134.304"
"147","build my own!","2","1","false","250","31","0","253","253","127.644"
"151","build my own!","2","3","false","25","31","0","77","77","42.92"
"152","build my own!","2","3","false","25","31","0","77","77","38.6"
"153","build my own!","2","3","false","25","31","0","86","86","42.28"
"154","build my own!","2","3","false","25","31","0","87","87","54.36"
"155","build my own!","2","3","false","25","31","0","77","77","50.4"
"156","build my own!","2","3","false","25","31","0","79","79","47.84"
"157","build my own!","2","3","false","25","31","0","82","82","43.88"
"158","build my own!","2","3","false","25","31","0","78","78","47.6"
"159","build my own!","2","3","false","25","31","0","84","84","48.44"
"160","build my own!","2","3","false","25","31","0","80","80","48.28"
"161","build my own!","2","3","false","25","31","0","83","83","49.68"
"162","build my own!","2","3","false","25","31","0","83","83","40.24"
"163","build my own!","2","3","false","25","31","0","79","79","42.08"
"164","build my own!","2","3","false","25","31","0","79","79","41.4"
"148","build my own!","2","1","false","250","31","0","270","270","140.688"
"165","build my own!","2","3","false","25","31","0","83","83","49.44"
"166","build my own!","2","3","false","25","31","0","82","82","37.2"
"167","build my own!","2","3","false","25","31","0","80","80","47.28"
"168","build my own!","2","3","false","25","31","0","86","86","44.88"
"169","build my own!","2","3","false","25","31","0","76","76","42.92"
"170","build my own!","2","3","false","25","31","0","79","79","46.72"
"171","build my own!","2","3","false","25","31","0","81","81","44.2"
"149","build my own!","2","1","false","250","31","0","247","247","124.848"
"172","build my own!","2","3","false","25","31","0","76","76","36.92"
"173","build my own!","2","3","false","25","31","0","80","80","43.68"
"175","build my own!","2","3","false","25","31","0","82","82","42.8"
"174","build my own!","2","3","false","25","31","0","77","77","40.72"
"176","build my own!","2","3","false","50","31","0","81","81","48.24"
"177","build my own!","2","3","false","50","31","0","80","80","52.22"
"150","build my own!","2","1","false","250","31","0","268","268","136.436"
"178","build my own!","2","3","false","50","31","0","78","78","45.4"
"179","build my own!","2","3","false","50","31","0","83","83","51.12"
"180","build my own!","2","3","false","50","31","0","82","82","44.36"
"181","build my own!","2","3","false","50","31","0","83","83","50.44"
"182","build my own!","2","3","false","50","31","0","88","88","48.34"
"183","build my own!","2","3","false","50","31","0","83","83","44.9"
"184","build my own!","2","3","false","50","31","0","83","83","44.94"
"185","build my own!","2","3","false","50","31","0","86","86","49.3"
"186","build my own!","2","3","false","50","31","0","81","81","45.7"
"187","build my own!","2","3","false","50","31","0","84","84","46.96"
"188","build my own!","2","3","false","50","31","0","83","83","47.62"
"189","build my own!","2","3","false","50","31","0","82","82","48.8"
"190","build my own!","2","3","false","50","31","0","85","85","45.42"
"191","build my own!","2","3","false","50","31","0","86","86","52.1"
"192","build my own!","2","3","false","50","31","0","83","83","45.42"
"193","build my own!","2","3","false","50","31","0","84","84","47.06"
"194","build my own!","2","3","false","50","31","0","82","82","46.04"
"196","build my own!","2","3","false","50","31","0","87","87","50.36"
"195","build my own!","2","3","false","50","31","0","86","86","49.4"
"197","build my own!","2","3","false","50","31","0","84","84","45.88"
"198","build my own!","2","3","false","50","31","0","78","78","43.2"
"199","build my own!","2","3","false","50","31","0","84","84","46.9"
"200","build my own!","2","3","false","50","31","0","83","83","47.04"
"201","build my own!","2","3","false","100","31","0","114","114","59.47"
"204","build my own!","2","3","false","100","31","0","103","103","57.04"
"202","build my own!","2","3","false","100","31","0","109","109","62.08"
"203","build my own!","2","3","false","100","31","0","118","118","63.47"
"205","build my own!","2","3","false","100","31","0","108","108","59.72"
"207","build my own!","2","3","false","100","31","0","99","99","54.01"
"208","build my own!","2","3","false","100","31","0","109","109","58.7"
"206","build my own!","2","3","false","100","31","0","116","116","65.47"
"209","build my own!","2","3","false","100","31","0","119","119","66.97"
"210","build my own!","2","3","false","100","31","0","102","102","56.66"
"211","build my own!","2","3","false","100","31","0","107","107","59.51"
"212","build my own!","2","3","false","100","31","0","113","113","62.98"
"213","build my own!","2","3","false","100","31","0","111","111","62.72"
"215","build my own!","2","3","false","100","31","0","109","109","59.64"
"216","build my own!","2","3","false","100","31","0","113","113","64.52"
"214","build my own!","2","3","false","100","31","0","108","108","60.12"
"217","build my own!","2","3","false","100","31","0","104","104","57.67"
"219","build my own!","2","3","false","100","31","0","103","103","56.76"
"218","build my own!","2","3","false","100","31","0","118","118","65.46"
"220","build my own!","2","3","false","100","31","0","113","113","63.12"
