BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,
number-of-rooms,,,,,,,,,,,,,,,,,,,
06/10/2018 00:02:27:518 -0500,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Average of ticks,Column Labels,,,,,,
2,build my own!,1,19,FALSE,25,7,2,93,93,68.36,,Row Labels,25,50,100,150,200,250,Grand Total
3,build my own!,1,19,FALSE,25,7,2,93,93,66.72,,2,95.68,128.92,204.28,284.64,361.5833333,455.24,254.3422819
4,build my own!,1,19,FALSE,25,7,2,96,96,72.8,,4,97.12,112.6,191.44,273.08,354.24,440.04,244.7533333
5,build my own!,1,19,FALSE,25,7,2,95,95,72.72,,6,95.16,108.32,185.44,270.28,355.72,443.56,243.08
6,build my own!,1,19,FALSE,25,7,2,97,97,72.52,,8,98.96,106.6,183.72,267.88,354.2,436.16,241.2533333
7,build my own!,1,19,FALSE,25,7,2,99,99,75.12,,10,98.04,106.32,182.96,266.28,355.32,437.52,241.0733333
9,build my own!,1,19,FALSE,25,7,2,90,90,62.28,,Grand Total,96.992,112.552,189.568,272.432,356.1693548,442.504,244.8878505
8,build my own!,1,19,FALSE,25,7,2,99,99,69.96,,,,,,,,,
10,build my own!,1,19,FALSE,25,7,2,97,97,73.84,,,,,,,,,
1,build my own!,1,19,FALSE,25,7,2,92,92,70.04,,,,,,,,,
12,build my own!,1,19,FALSE,25,7,2,93,93,68.24,,,,,,,,,
11,build my own!,1,19,FALSE,25,7,2,101,101,76.32,,,,,,,,,
13,build my own!,1,19,FALSE,25,7,2,93,93,67.72,,,,,,,,,
14,build my own!,1,19,FALSE,25,7,2,98,98,72.12,,,,,,,,,
15,build my own!,1,19,FALSE,25,7,2,98,98,73.16,,,,,,,,,
16,build my own!,1,19,FALSE,25,7,2,96,96,61.36,,,,,,,,,
17,build my own!,1,19,FALSE,25,7,2,94,94,64,,,,,,,,,
19,build my own!,1,19,FALSE,25,7,2,90,90,65.12,,,,,,,,,
18,build my own!,1,19,FALSE,25,7,2,93,93,70.4,,,,,,,,,
20,build my own!,1,19,FALSE,25,7,2,100,100,70.76,,,,,,,,,
21,build my own!,1,19,FALSE,25,7,2,97,97,75.04,,,,,,,,,
22,build my own!,1,19,FALSE,25,7,2,97,97,71.2,,,,,,,,,
25,build my own!,1,19,FALSE,25,7,2,93,93,69.36,,,,,,,,,
23,build my own!,1,19,FALSE,25,7,2,99,99,72.2,,,,,,,,,
24,build my own!,1,19,FALSE,25,7,2,99,99,73.36,,,,,,,,,
26,build my own!,1,19,FALSE,25,7,4,95,95,56.92,,,,,,,,,
27,build my own!,1,19,FALSE,25,7,4,99,99,51.68,,,,,,,,,
