BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,,,,,,,,,,,
door-proximity,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2018 20:24:15:355 -0500,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,,Column Labels,,,,,,,,,,,
3,build my own!,2,1,FALSE,25,21,0,60,60,35.92,,,Total Evacuation Time,,,,,Average Evacuation Time,,,,,Total Total Evacuation Time,Total Average Evacuation Time
4,build my own!,2,1,FALSE,25,21,0,67,67,39.72,,Row Labels,25,50,100,150,200,25,50,100,150,200,,
1,build my own!,2,1,FALSE,25,21,0,66,66,37.56,,1,64.4,70.4,111.3,160.8,212.2,37.464,42.102,60.701,84.02933333,109.784,123.82,66.81606667
6,build my own!,2,1,FALSE,25,21,0,67,67,38.16,,3,61.2,69,105.2,147.6,199,34.764,39.488,57.453,76.842,103.761,116.4,62.4616
5,build my own!,2,1,FALSE,25,21,0,60,60,40.04,,5,63,66.6,99.9,139.3,185.4,34.384,37.794,53.389,71.626,93.508,110.84,58.1402
7,build my own!,2,1,FALSE,25,21,0,65,65,32.64,,7,64.3,67.8,97.3,138.2,178.7,35.812,37.72,51.27,70.21733333,91.235,109.26,57.25086667
8,build my own!,2,1,FALSE,25,21,0,63,63,39.04,,9,62.4,67.6,94.1,135.5,182.4,35.348,37.214,49.591,68.69733333,91.5235,108.4,56.47476667
9,build my own!,2,1,FALSE,25,21,0,69,69,39.88,,11,62.3,70.6,96.7,138.5,181.1,34.104,37.866,50.137,69.40133333,91.4795,109.84,56.59756667
10,build my own!,2,1,FALSE,25,21,0,64,64,28.92,,13,61.6,72.2,96.9,136.5,180.8,32.58,37.374,50.029,68.28133333,90.9545,109.6,55.84376667
2,build my own!,2,1,FALSE,25,21,0,63,63,42.76,,15,62.7,67.8,96.9,139.1,182.3,34.524,36.494,49.589,70.064,91.336,109.76,56.4014
13,build my own!,2,1,FALSE,50,21,0,72,72,41.16,,17,62.9,67.3,96.2,139,182.5,33.128,35.6,49.856,69.18666667,90.669,109.58,55.68793333
11,build my own!,2,1,FALSE,50,21,0,67,67,38.8,,19,64.4,67.7,100.2,141.1,181.6,35.372,36.74,50.141,69.84666667,89.7395,111,56.36783333
12,build my own!,2,1,FALSE,50,21,0,73,73,44.22,,Grand Total,62.92,68.7,99.47,141.56,186.6,34.748,37.8392,52.2156,71.8192,94.399,111.85,58.2042
14,build my own!,2,1,FALSE,50,21,0,73,73,42.78,,,,,,,,,,,,,,
16,build my own!,2,1,FALSE,50,21,0,70,70,44.14,,,,,,,,,,,,,,
15,build my own!,2,1,FALSE,50,21,0,70,70,42.1,,,,,,,,,,,,,,
