"BehaviorSpace results (NetLogo 6.0.3)"
"Evacuation.nlogo"
"door-proximity"
"06/08/2018 02:57:00:657 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","building-type","number-of-doors","door-proximity","show-checkpoints","number-of-people","hallway-size","number-of-rooms","[step]","ticks","average-time-to-evacuate"
"3","build my own!","2","1","false","200","21","0","214","214","107.69"
"2","build my own!","2","1","false","200","21","0","220","220","116.39"
"4","build my own!","2","1","false","200","21","0","218","218","113.97"
"1","build my own!","2","1","false","200","21","0","218","218","110.58"
"5","build my own!","2","1","false","200","21","0","205","205","106.095"
"6","build my own!","2","1","false","200","21","0","210","210","109.25"
"7","build my own!","2","1","false","200","21","0","211","211","109.255"
"8","build my own!","2","1","false","200","21","0","213","213","111.065"
"9","build my own!","2","1","false","200","21","0","211","211","105.785"
"11","build my own!","2","1","false","200","21","0","213","213","111.845"
"10","build my own!","2","1","false","200","21","0","223","223","111.8"
"12","build my own!","2","1","false","200","21","0","211","211","108.255"
"13","build my own!","2","1","false","200","21","0","225","225","117.075"
"14","build my own!","2","1","false","200","21","0","208","208","110.43"
"15","build my own!","2","1","false","200","21","0","214","214","109.02"
"16","build my own!","2","1","false","200","21","0","213","213","110.105"
"17","build my own!","2","1","false","200","21","0","211","211","110.54"
"18","build my own!","2","1","false","200","21","0","213","213","109.685"
"19","build my own!","2","1","false","200","21","0","206","206","105.16"
"20","build my own!","2","1","false","200","21","0","222","222","113.33"
"21","build my own!","2","1","false","200","21","0","213","213","106.41"
"23","build my own!","2","1","false","200","21","0","212","212","109.845"
"22","build my own!","2","1","false","200","21","0","221","221","115.27"
"25","build my own!","2","1","false","200","21","0","214","214","111.22"
"24","build my own!","2","1","false","200","21","0","223","223","114.68"
"26","build my own!","2","1","false","200","21","0","210","210","106.865"
"27","build my own!","2","1","false","200","21","0","211","211","110.115"
"31","build my own!","2","3","false","200","21","0","199","199","101.745"
"30","build my own!","2","1","false","200","21","0","212","212","107.755"
"28","build my own!","2","1","false","200","21","0","220","220","114.295"
"29","build my own!","2","1","false","200","21","0","214","214","112.54"
"33","build my own!","2","3","false","200","21","0","199","199","101.22"
"32","build my own!","2","3","false","200","21","0","206","206","105.695"
"34","build my own!","2","3","false","200","21","0","202","202","103.455"
"35","build my own!","2","3","false","200","21","0","192","192","97.325"
"38","build my own!","2","3","false","200","21","0","201","201","102.225"
"37","build my own!","2","3","false","200","21","0","202","202","102.615"
"36","build my own!","2","3","false","200","21","0","204","204","106.725"
"39","build my own!","2","3","false","200","21","0","201","201","102.725"
"42","build my own!","2","3","false","200","21","0","194","194","99.575"
"40","build my own!","2","3","false","200","21","0","194","194","101.995"
"41","build my own!","2","3","false","200","21","0","202","202","103.455"
"43","build my own!","2","3","false","200","21","0","194","194","100.48"
"45","build my own!","2","3","false","200","21","0","195","195","98.245"
"46","build my own!","2","3","false","200","21","0","200","200","103.81"
"44","build my own!","2","3","false","200","21","0","203","203","104.57"
"47","build my own!","2","3","false","200","21","0","193","193","99.475"
"48","build my own!","2","3","false","200","21","0","191","191","97.145"
"50","build my own!","2","3","false","200","21","0","195","195","97.87"
"49","build my own!","2","3","false","200","21","0","210","210","107.945"
"51","build my own!","2","3","false","200","21","0","189","189","95.245"
"52","build my own!","2","3","false","200","21","0","193","193","98.91"
"53","build my own!","2","3","false","200","21","0","195","195","101.365"
"54","build my own!","2","3","false","200","21","0","208","208","108.72"
"55","build my own!","2","3","false","200","21","0","194","194","97.19"
"56","build my own!","2","3","false","200","21","0","192","192","100.815"
"57","build my own!","2","3","false","200","21","0","198","198","100.1"
"58","build my own!","2","3","false","200","21","0","195","195","99.815"
"59","build my own!","2","3","false","200","21","0","203","203","105.9"
"60","build my own!","2","3","false","200","21","0","194","194","98.015"
"61","build my own!","2","5","false","200","21","0","189","189","96.95"
"62","build my own!","2","5","false","200","21","0","187","187","94.5"
"63","build my own!","2","5","false","200","21","0","190","190","96.835"
"64","build my own!","2","5","false","200","21","0","193","193","101.63"
"65","build my own!","2","5","false","200","21","0","188","188","96.795"
"66","build my own!","2","5","false","200","21","0","192","192","100.39"
"67","build my own!","2","5","false","200","21","0","189","189","95.82"
"69","build my own!","2","5","false","200","21","0","180","180","89.68"
"68","build my own!","2","5","false","200","21","0","192","192","99.605"
"70","build my own!","2","5","false","200","21","0","187","187","94.985"
"73","build my own!","2","5","false","200","21","0","182","182","92.36"
"72","build my own!","2","5","false","200","21","0","182","182","93.905"
"71","build my own!","2","5","false","200","21","0","185","185","92.835"
"74","build my own!","2","5","false","200","21","0","189","189","97.445"
"76","build my own!","2","5","false","200","21","0","175","175","89.485"
"75","build my own!","2","5","false","200","21","0","186","186","93.245"
"77","build my own!","2","5","false","200","21","0","187","187","96.495"
"78","build my own!","2","5","false","200","21","0","179","179","92.825"
"79","build my own!","2","5","false","200","21","0","188","188","93.46"
"80","build my own!","2","5","false","200","21","0","188","188","94.355"
"81","build my own!","2","5","false","200","21","0","181","181","93.435"
"82","build my own!","2","5","false","200","21","0","180","180","90.43"
"83","build my own!","2","5","false","200","21","0","194","194","97.715"
"84","build my own!","2","5","false","200","21","0","188","188","98.325"
"86","build my own!","2","5","false","200","21","0","173","173","88.865"
"85","build my own!","2","5","false","200","21","0","180","180","90.845"
"87","build my own!","2","5","false","200","21","0","182","182","91.995"
"88","build my own!","2","5","false","200","21","0","186","186","94.155"
"89","build my own!","2","5","false","200","21","0","198","198","102.175"
"90","build my own!","2","5","false","200","21","0","182","182","93.555"
"91","build my own!","2","7","false","200","21","0","189","189","92.675"
"92","build my own!","2","7","false","200","21","0","180","180","91.485"
"93","build my own!","2","7","false","200","21","0","179","179","91.59"
"94","build my own!","2","7","false","200","21","0","184","184","92.03"
"95","build my own!","2","7","false","200","21","0","183","183","91.88"
"96","build my own!","2","7","false","200","21","0","183","183","93.21"
"97","build my own!","2","7","false","200","21","0","185","185","93.41"
"98","build my own!","2","7","false","200","21","0","183","183","90.475"
"99","build my own!","2","7","false","200","21","0","179","179","90.98"
"100","build my own!","2","7","false","200","21","0","186","186","92.73"
"101","build my own!","2","7","false","200","21","0","182","182","95.385"
"102","build my own!","2","7","false","200","21","0","184","184","93.915"
"103","build my own!","2","7","false","200","21","0","182","182","91.565"
"104","build my own!","2","7","false","200","21","0","182","182","92.59"
"105","build my own!","2","7","false","200","21","0","179","179","88.59"
"106","build my own!","2","7","false","200","21","0","189","189","94.53"
"107","build my own!","2","7","false","200","21","0","172","172","87.62"
"108","build my own!","2","7","false","200","21","0","184","184","91.925"
"109","build my own!","2","7","false","200","21","0","184","184","95.56"
"110","build my own!","2","7","false","200","21","0","187","187","92.995"
"111","build my own!","2","7","false","200","21","0","179","179","92.435"
"112","build my own!","2","7","false","200","21","0","178","178","90.435"
"113","build my own!","2","7","false","200","21","0","175","175","88.435"
"115","build my own!","2","7","false","200","21","0","175","175","91.11"
"114","build my own!","2","7","false","200","21","0","184","184","94.93"
