"BehaviorSpace results (NetLogo 6.0.3)"
"Evacuation.nlogo"
"hallway size vs number of rooms"
"06/08/2018 03:50:57:582 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","building-type","number-of-doors","door-proximity","show-checkpoints","number-of-people","hallway-size","number-of-rooms","[step]","ticks","average-time-to-evacuate"
"3","build my own!","1","19","false","200","3","2","356","356","187.195"
"2","build my own!","1","19","false","200","3","2","368","368","196.17"
"4","build my own!","1","19","false","200","3","2","376","376","200.08"
"1","build my own!","1","19","false","200","3","2","371","371","201.235"
"5","build my own!","1","19","false","200","3","2","355","355","191.815"
"6","build my own!","1","19","false","200","3","2","372","372","197.775"
"7","build my own!","1","19","false","200","3","2","364","364","197.45"
"8","build my own!","1","19","false","200","3","2","381","381","205.775"
"11","build my own!","1","19","false","200","3","4","351","351","177.385"
"9","build my own!","1","19","false","200","3","2","372","372","197.095"
"10","build my own!","1","19","false","200","3","2","370","370","195.385"
"12","build my own!","1","19","false","200","3","4","352","352","178.65"
"13","build my own!","1","19","false","200","3","4","374","374","186.805"
"14","build my own!","1","19","false","200","3","4","340","340","172.655"
"15","build my own!","1","19","false","200","3","4","352","352","179.74"
"16","build my own!","1","19","false","200","3","4","360","360","184.425"
"17","build my own!","1","19","false","200","3","4","355","355","181.62"
"18","build my own!","1","19","false","200","3","4","363","363","183.285"
"19","build my own!","1","19","false","200","3","4","368","368","189.715"
"20","build my own!","1","19","false","200","3","4","356","356","185.09"
"21","build my own!","1","19","false","200","3","6","353","353","185.995"
"22","build my own!","1","19","false","200","3","6","334","334","174.12"
"23","build my own!","1","19","false","200","3","6","347","347","176.135"
"24","build my own!","1","19","false","200","3","6","354","354","180.38"
"25","build my own!","1","19","false","200","3","6","366","366","185.76"
"26","build my own!","1","19","false","200","3","6","355","355","184.91"
"27","build my own!","1","19","false","200","3","6","355","355","182.44"
"28","build my own!","1","19","false","200","3","6","356","356","183.76"
"29","build my own!","1","19","false","200","3","6","352","352","175.75"
"30","build my own!","1","19","false","200","3","6","351","351","181.58"
"31","build my own!","1","19","false","200","3","8","347","347","174.545"
"32","build my own!","1","19","false","200","3","8","347","347","174.565"
"33","build my own!","1","19","false","200","3","8","347","347","175.31"
"34","build my own!","1","19","false","200","3","8","350","350","172.945"
"35","build my own!","1","19","false","200","3","8","332","332","168.375"
"36","build my own!","1","19","false","200","3","8","345","345","174.88"
"37","build my own!","1","19","false","200","3","8","337","337","170.6"
"39","build my own!","1","19","false","200","3","8","330","330","164.295"
"38","build my own!","1","19","false","200","3","8","351","351","176.795"
"40","build my own!","1","19","false","200","3","8","335","335","171.07"
"41","build my own!","1","19","false","200","3","10","344","344","179.395"
"42","build my own!","1","19","false","200","3","10","332","332","168.375"
"43","build my own!","1","19","false","200","3","10","343","343","174.315"
"44","build my own!","1","19","false","200","3","10","317","317","159.115"
"45","build my own!","1","19","false","200","3","10","330","330","168.105"
"46","build my own!","1","19","false","200","3","10","340","340","175.3"
"47","build my own!","1","19","false","200","3","10","339","339","170.455"
"48","build my own!","1","19","false","200","3","10","344","344","171.685"
"49","build my own!","1","19","false","200","3","10","341","341","170.74"
"50","build my own!","1","19","false","200","3","10","347","347","170.71"
"51","build my own!","1","19","false","200","5","2","357","357","186.365"
"52","build my own!","1","19","false","200","5","2","349","349","176.705"
"53","build my own!","1","19","false","200","5","2","362","362","188.945"
"54","build my own!","1","19","false","200","5","2","351","351","176.945"
"55","build my own!","1","19","false","200","5","2","352","352","180.48"
"56","build my own!","1","19","false","200","5","2","341","341","171.45"
"57","build my own!","1","19","false","200","5","2","351","351","183.125"
"58","build my own!","1","19","false","200","5","2","347","347","180.09"
"59","build my own!","1","19","false","200","5","2","349","349","176.895"
"60","build my own!","1","19","false","200","5","2","345","345","175.565"
"61","build my own!","1","19","false","200","5","4","355","355","182.045"
"62","build my own!","1","19","false","200","5","4","359","359","185.835"
"63","build my own!","1","19","false","200","5","4","336","336","162.78"
"64","build my own!","1","19","false","200","5","4","347","347","174.595"
"65","build my own!","1","19","false","200","5","4","350","350","176.285"
"67","build my own!","1","19","false","200","5","4","351","351","178.56"
"66","build my own!","1","19","false","200","5","4","362","362","185.085"
"68","build my own!","1","19","false","200","5","4","342","342","173.405"
"69","build my own!","1","19","false","200","5","4","350","350","173.38"
