BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,
hallway-size,,,,,,,,,,,,,,
06/08/2018 02:49:04:421 -0500,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Row Labels,Average of ticks,Average of average-time-to-evacuate
2,build my own!,1,1,FALSE,200,3,10,314,314,157.7,,3,338.5666667,170.9215
4,build my own!,1,1,FALSE,200,3,10,333,333,164.71,,5,346.2333333,174.5808333
3,build my own!,1,1,FALSE,200,3,10,353,353,177.66,,7,352,176.4708333
1,build my own!,1,1,FALSE,200,3,10,335,335,172.215,,9,349.4666667,175.5236667
5,build my own!,1,1,FALSE,200,3,10,337,337,167.07,,13,349.6333333,176.6166667
6,build my own!,1,1,FALSE,200,3,10,347,347,173.755,,15,351.3,176.953
7,build my own!,1,1,FALSE,200,3,10,358,358,178.775,,17,350.7,176.6728333
8,build my own!,1,1,FALSE,200,3,10,336,336,169.635,,19,356.0666667,178.9606667
9,build my own!,1,1,FALSE,200,3,10,329,329,166.865,,21,352.4666667,178.06
10,build my own!,1,1,FALSE,200,3,10,334,334,166.78,,Grand Total,349.6037037,176.0844444
11,build my own!,1,1,FALSE,200,3,10,341,341,174.84,,,,
12,build my own!,1,1,FALSE,200,3,10,342,342,172.49,,,,
13,build my own!,1,1,FALSE,200,3,10,351,351,173.16,,,,
14,build my own!,1,1,FALSE,200,3,10,337,337,170.85,,,,
15,build my own!,1,1,FALSE,200,3,10,341,341,173.295,,,,
16,build my own!,1,1,FALSE,200,3,10,333,333,170.415,,,,
17,build my own!,1,1,FALSE,200,3,10,345,345,172.91,,,,
18,build my own!,1,1,FALSE,200,3,10,336,336,170.415,,,,
19,build my own!,1,1,FALSE,200,3,10,326,326,164.09,,,,
20,build my own!,1,1,FALSE,200,3,10,341,341,176.305,,,,
21,build my own!,1,1,FALSE,200,3,10,336,336,169.81,,,,
22,build my own!,1,1,FALSE,200,3,10,340,340,172.695,,,,
23,build my own!,1,1,FALSE,200,3,10,340,340,171.26,,,,
24,build my own!,1,1,FALSE,200,3,10,337,337,171.51,,,,
25,build my own!,1,1,FALSE,200,3,10,340,340,171.355,,,,
26,build my own!,1,1,FALSE,200,3,10,330,330,166.235,,,,
27,build my own!,1,1,FALSE,200,3,10,340,340,169.095,,,,
28,build my own!,1,1,FALSE,200,3,10,331,331,164.95,,,,
29,build my own!,1,1,FALSE,200,3,10,348,348,178.575,,,,
30,build my own!,1,1,FALSE,200,3,10,346,346,178.225,,,,
31,build my own!,1,1,FALSE,200,5,10,352,352,174.365,,,,
32,build my own!,1,1,FALSE,200,5,10,338,338,170.265,,,,
33,build my own!,1,1,FALSE,200,5,10,353,353,178.77,,,,
34,build my own!,1,1,FALSE,200,5,10,348,348,177.825,,,,
35,build my own!,1,1,FALSE,200,5,10,356,356,179.115,,,,
36,build my own!,1,1,FALSE,200,5,10,343,343,172.28,,,,
37,build my own!,1,1,FALSE,200,5,10,345,345,171.205,,,,
38,build my own!,1,1,FALSE,200,5,10,331,331,168.205,,,,
39,build my own!,1,1,FALSE,200,5,10,342,342,175.22,,,,
40,build my own!,1,1,FALSE,200,5,10,350,350,176.175,,,,
41,build my own!,1,1,FALSE,200,5,10,353,353,177.52,,,,
42,build my own!,1,1,FALSE,200,5,10,360,356,182.17,,,,
43,build my own!,1,1,FALSE,200,5,10,353,353,179.925,,,,
44,build my own!,1,1,FALSE,200,5,10,350,350,175.56,,,,
45,build my own!,1,1,FALSE,200,5,10,337,337,166.215,,,,
46,build my own!,1,1,FALSE,200,5,10,354,354,176.06,,,,
47,build my own!,1,1,FALSE,200,5,10,350,350,173.07,,,,
48,build my own!,1,1,FALSE,200,5,10,348,348,177.86,,,,
49,build my own!,1,1,FALSE,200,5,10,339,339,172.575,,,,
50,build my own!,1,1,FALSE,200,5,10,322,322,163.07,,,,
51,build my own!,1,1,FALSE,200,5,10,341,341,169.085,,,,
52,build my own!,1,1,FALSE,200,5,10,335,335,168.83,,,,
53,build my own!,1,1,FALSE,200,5,10,357,357,187.705,,,,
54,build my own!,1,1,FALSE,200,5,10,368,368,180.71,,,,
55,build my own!,1,1,FALSE,200,5,10,345,345,173.22,,,,
57,build my own!,1,1,FALSE,200,5,10,329,329,168.435,,,,
56,build my own!,1,1,FALSE,200,5,10,343,343,175.39,,,,
58,build my own!,1,1,FALSE,200,5,10,349,349,177.19,,,,
59,build my own!,1,1,FALSE,200,5,10,342,342,173.555,,,,
60,build my own!,1,1,FALSE,200,5,10,358,358,175.855,,,,
62,build my own!,1,1,FALSE,200,7,10,348,348,166.08,,,,
61,build my own!,1,1,FALSE,200,7,10,356,356,181.415,,,,
