BehaviorSpace results (NetLogo 6.0.3),,,,,,,,,,,,,,
Evacuation.nlogo,,,,,,,,,,,,,,
number-of-rooms,,,,,,,,,,,,,,
06/08/2018 03:06:04:110 -0500,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,
-16,16,-16,16,,,,,,,,,,,
[run number],building-type,number-of-doors,door-proximity,show-checkpoints,number-of-people,hallway-size,number-of-rooms,[step],ticks,average-time-to-evacuate,,Row Labels,Total Evacuation Time,Average Evacuation Time
3,build my own!,1,19,FALSE,200,3,0,339,339,175.625,,0,353.2333333,177.9803333
2,build my own!,1,19,FALSE,200,3,0,358,358,182.675,,2,366.6666667,194.5633333
4,build my own!,1,19,FALSE,200,3,0,361,361,184.405,,4,354.8333333,182.31
1,build my own!,1,19,FALSE,200,3,0,371,371,184.54,,6,350.2666667,177.9773333
6,build my own!,1,19,FALSE,200,3,0,346,346,173.29,,8,348.4,176.5141667
5,build my own!,1,19,FALSE,200,3,0,360,360,180.755,,10,340.2,171.5756667
7,build my own!,1,19,FALSE,200,3,0,352,352,179.13,,Grand Total,352.2666667,180.1534722
8,build my own!,1,19,FALSE,200,3,0,350,350,177.035,,,,
10,build my own!,1,19,FALSE,200,3,0,362,362,176.365,,,,
9,build my own!,1,19,FALSE,200,3,0,357,357,181.155,,,,
11,build my own!,1,19,FALSE,200,3,0,342,342,174.695,,,,
12,build my own!,1,19,FALSE,200,3,0,354,354,174.805,,,,
14,build my own!,1,19,FALSE,200,3,0,342,342,174.785,,,,
13,build my own!,1,19,FALSE,200,3,0,359,359,177.65,,,,
15,build my own!,1,19,FALSE,200,3,0,355,355,178.925,,,,
16,build my own!,1,19,FALSE,200,3,0,353,353,178.67,,,,
17,build my own!,1,19,FALSE,200,3,0,355,355,179.86,,,,
18,build my own!,1,19,FALSE,200,3,0,365,365,183.47,,,,
19,build my own!,1,19,FALSE,200,3,0,346,346,172.185,,,,
20,build my own!,1,19,FALSE,200,3,0,361,361,183.99,,,,
21,build my own!,1,19,FALSE,200,3,0,352,352,181.48,,,,
22,build my own!,1,19,FALSE,200,3,0,354,354,180.655,,,,
23,build my own!,1,19,FALSE,200,3,0,351,351,176.58,,,,
24,build my own!,1,19,FALSE,200,3,0,335,335,167.245,,,,
25,build my own!,1,19,FALSE,200,3,0,345,345,171.44,,,,
26,build my own!,1,19,FALSE,200,3,0,349,349,176.07,,,,
27,build my own!,1,19,FALSE,200,3,0,353,353,178.785,,,,
28,build my own!,1,19,FALSE,200,3,0,366,366,182.51,,,,
29,build my own!,1,19,FALSE,200,3,0,347,347,173.865,,,,
30,build my own!,1,19,FALSE,200,3,0,357,357,176.77,,,,
31,build my own!,1,19,FALSE,200,3,2,362,362,192.95,,,,
32,build my own!,1,19,FALSE,200,3,2,367,367,195.175,,,,
33,build my own!,1,19,FALSE,200,3,2,372,372,196.8,,,,
34,build my own!,1,19,FALSE,200,3,2,348,348,183.52,,,,
35,build my own!,1,19,FALSE,200,3,2,373,373,195.05,,,,
36,build my own!,1,19,FALSE,200,3,2,366,366,189.065,,,,
37,build my own!,1,19,FALSE,200,3,2,363,363,194.195,,,,
38,build my own!,1,19,FALSE,200,3,2,371,371,196.07,,,,
39,build my own!,1,19,FALSE,200,3,2,392,392,211.815,,,,
40,build my own!,1,19,FALSE,200,3,2,364,364,197.545,,,,
42,build my own!,1,19,FALSE,200,3,2,357,357,192.6,,,,
41,build my own!,1,19,FALSE,200,3,2,368,368,197.815,,,,
43,build my own!,1,19,FALSE,200,3,2,380,380,207.61,,,,
45,build my own!,1,19,FALSE,200,3,2,381,381,203.19,,,,
44,build my own!,1,19,FALSE,200,3,2,365,365,192.295,,,,
46,build my own!,1,19,FALSE,200,3,2,372,372,198.505,,,,
47,build my own!,1,19,FALSE,200,3,2,369,369,196.545,,,,
50,build my own!,1,19,FALSE,200,3,2,352,352,186.09,,,,
48,build my own!,1,19,FALSE,200,3,2,359,359,189.41,,,,
49,build my own!,1,19,FALSE,200,3,2,354,354,186.85,,,,
51,build my own!,1,19,FALSE,200,3,2,368,368,192.66,,,,
53,build my own!,1,19,FALSE,200,3,2,360,360,192.635,,,,
52,build my own!,1,19,FALSE,200,3,2,379,379,194.415,,,,
54,build my own!,1,19,FALSE,200,3,2,372,372,197.04,,,,
55,build my own!,1,19,FALSE,200,3,2,354,354,187.665,,,,
56,build my own!,1,19,FALSE,200,3,2,363,363,192.895,,,,
57,build my own!,1,19,FALSE,200,3,2,363,363,195.165,,,,
58,build my own!,1,19,FALSE,200,3,2,359,359,187.84,,,,
59,build my own!,1,19,FALSE,200,3,2,372,372,194.39,,,,
61,build my own!,1,19,FALSE,200,3,4,364,364,187.53,,,,
60,build my own!,1,19,FALSE,200,3,2,375,375,199.1,,,,
62,build my own!,1,19,FALSE,200,3,4,359,359,186.81,,,,
63,build my own!,1,19,FALSE,200,3,4,356,356,186.92,,,,
64,build my own!,1,19,FALSE,200,3,4,358,358,186.23,,,,
65,build my own!,1,19,FALSE,200,3,4,346,346,180.825,,,,
66,build my own!,1,19,FALSE,200,3,4,336,336,171.745,,,,
67,build my own!,1,19,FALSE,200,3,4,356,356,180.215,,,,
68,build my own!,1,19,FALSE,200,3,4,357,357,181.96,,,,
69,build my own!,1,19,FALSE,200,3,4,358,358,183.13,,,,
70,build my own!,1,19,FALSE,200,3,4,365,365,186.53,,,,
71,build my own!,1,19,FALSE,200,3,4,356,356,185.94,,,,
72,build my own!,1,19,FALSE,200,3,4,347,347,176.24,,,,
73,build my own!,1,19,FALSE,200,3,4,359,359,177.06,,,,
74,build my own!,1,19,FALSE,200,3,4,371,371,193.3,,,,
75,build my own!,1,19,FALSE,200,3,4,358,358,181.05,,,,
76,build my own!,1,19,FALSE,200,3,4,354,354,181.01,,,,
77,build my own!,1,19,FALSE,200,3,4,358,358,180.105,,,,
78,build my own!,1,19,FALSE,200,3,4,344,344,177.33,,,,
79,build my own!,1,19,FALSE,200,3,4,353,353,184.595,,,,
80,build my own!,1,19,FALSE,200,3,4,359,359,184.71,,,,
81,build my own!,1,19,FALSE,200,3,4,350,350,180.175,,,,
82,build my own!,1,19,FALSE,200,3,4,354,354,184.365,,,,
83,build my own!,1,19,FALSE,200,3,4,346,346,179.705,,,,
84,build my own!,1,19,FALSE,200,3,4,356,356,179.425,,,,
85,build my own!,1,19,FALSE,200,3,4,360,360,184.38,,,,
86,build my own!,1,19,FALSE,200,3,4,351,351,181.83,,,,
87,build my own!,1,19,FALSE,200,3,4,347,347,179.82,,,,
88,build my own!,1,19,FALSE,200,3,4,351,351,178.635,,,,
89,build my own!,1,19,FALSE,200,3,4,362,362,184.235,,,,
90,build my own!,1,19,FALSE,200,3,4,354,354,183.495,,,,
92,build my own!,1,19,FALSE,200,3,6,348,348,176.39,,,,
91,build my own!,1,19,FALSE,200,3,6,358,358,185.715,,,,
93,build my own!,1,19,FALSE,200,3,6,355,355,180.645,,,,
94,build my own!,1,19,FALSE,200,3,6,345,345,179.405,,,,
95,build my own!,1,19,FALSE,200,3,6,339,339,174.41,,,,
96,build my own!,1,19,FALSE,200,3,6,355,355,179.005,,,,
97,build my own!,1,19,FALSE,200,3,6,362,362,183.4,,,,
98,build my own!,1,19,FALSE,200,3,6,356,356,178.98,,,,
99,build my own!,1,19,FALSE,200,3,6,336,336,169.775,,,,
100,build my own!,1,19,FALSE,200,3,6,359,359,182.13,,,,
101,build my own!,1,19,FALSE,200,3,6,353,353,175.11,,,,
102,build my own!,1,19,FALSE,200,3,6,338,338,172.02,,,,
103,build my own!,1,19,FALSE,200,3,6,346,346,173.535,,,,
104,build my own!,1,19,FALSE,200,3,6,354,354,176.045,,,,
105,build my own!,1,19,FALSE,200,3,6,357,357,180.04,,,,
107,build my own!,1,19,FALSE,200,3,6,343,343,176.61,,,,
106,build my own!,1,19,FALSE,200,3,6,340,340,169.92,,,,
108,build my own!,1,19,FALSE,200,3,6,350,350,178.245,,,,
109,build my own!,1,19,FALSE,200,3,6,340,340,173.595,,,,
110,build my own!,1,19,FALSE,200,3,6,358,358,181.27,,,,
111,build my own!,1,19,FALSE,200,3,6,355,355,179.92,,,,
112,build my own!,1,19,FALSE,200,3,6,364,364,185.27,,,,
113,build my own!,1,19,FALSE,200,3,6,353,353,178.815,,,,
114,build my own!,1,19,FALSE,200,3,6,347,347,180.52,,,,
115,build my own!,1,19,FALSE,200,3,6,330,330,169.355,,,,
116,build my own!,1,19,FALSE,200,3,6,360,360,182.63,,,,
117,build my own!,1,19,FALSE,200,3,6,356,356,180.945,,,,
118,build my own!,1,19,FALSE,200,3,6,345,345,177.65,,,,
119,build my own!,1,19,FALSE,200,3,6,358,358,183.83,,,,
120,build my own!,1,19,FALSE,200,3,6,348,348,174.14,,,,
121,build my own!,1,19,FALSE,200,3,8,348,348,176.98,,,,
122,build my own!,1,19,FALSE,200,3,8,354,354,175.715,,,,
123,build my own!,1,19,FALSE,200,3,8,357,357,175.49,,,,
124,build my own!,1,19,FALSE,200,3,8,360,360,180.64,,,,
125,build my own!,1,19,FALSE,200,3,8,351,351,179.515,,,,
126,build my own!,1,19,FALSE,200,3,8,351,351,178.43,,,,
127,build my own!,1,19,FALSE,200,3,8,337,337,168.575,,,,
128,build my own!,1,19,FALSE,200,3,8,347,347,174.53,,,,
129,build my own!,1,19,FALSE,200,3,8,358,358,180.515,,,,
130,build my own!,1,19,FALSE,200,3,8,350,350,171.945,,,,
131,build my own!,1,19,FALSE,200,3,8,335,335,170.575,,,,
132,build my own!,1,19,FALSE,200,3,8,348,348,176.895,,,,
133,build my own!,1,19,FALSE,200,3,8,338,338,171.3,,,,
134,build my own!,1,19,FALSE,200,3,8,335,335,172.77,,,,
136,build my own!,1,19,FALSE,200,3,8,340,340,171.8,,,,
135,build my own!,1,19,FALSE,200,3,8,344,344,172.97,,,,
137,build my own!,1,19,FALSE,200,3,8,348,348,177.27,,,,
138,build my own!,1,19,FALSE,200,3,8,360,360,181.6,,,,
139,build my own!,1,19,FALSE,200,3,8,365,365,185.53,,,,
141,build my own!,1,19,FALSE,200,3,8,350,350,178.055,,,,
140,build my own!,1,19,FALSE,200,3,8,362,362,183.615,,,,
142,build my own!,1,19,FALSE,200,3,8,346,346,175.045,,,,
143,build my own!,1,19,FALSE,200,3,8,333,333,173.665,,,,
144,build my own!,1,19,FALSE,200,3,8,352,352,177.62,,,,
145,build my own!,1,19,FALSE,200,3,8,349,349,179.21,,,,
146,build my own!,1,19,FALSE,200,3,8,348,348,178.54,,,,
147,build my own!,1,19,FALSE,200,3,8,338,338,172.56,,,,
148,build my own!,1,19,FALSE,200,3,8,352,352,179.9,,,,
149,build my own!,1,19,FALSE,200,3,8,364,364,185.32,,,,
150,build my own!,1,19,FALSE,200,3,8,332,332,168.85,,,,
151,build my own!,1,19,FALSE,200,3,10,329,329,165.875,,,,
152,build my own!,1,19,FALSE,200,3,10,341,341,172.225,,,,
153,build my own!,1,19,FALSE,200,3,10,348,348,178.45,,,,
154,build my own!,1,19,FALSE,200,3,10,347,347,179.255,,,,
155,build my own!,1,19,FALSE,200,3,10,331,331,165.645,,,,
156,build my own!,1,19,FALSE,200,3,10,349,349,176.56,,,,
157,build my own!,1,19,FALSE,200,3,10,330,330,166.395,,,,
158,build my own!,1,19,FALSE,200,3,10,349,349,179.785,,,,
159,build my own!,1,19,FALSE,200,3,10,336,336,172.085,,,,
160,build my own!,1,19,FALSE,200,3,10,340,340,172.12,,,,
161,build my own!,1,19,FALSE,200,3,10,338,338,172.605,,,,
162,build my own!,1,19,FALSE,200,3,10,337,337,171.115,,,,
163,build my own!,1,19,FALSE,200,3,10,334,334,171.705,,,,
164,build my own!,1,19,FALSE,200,3,10,345,345,171.98,,,,
165,build my own!,1,19,FALSE,200,3,10,330,330,160.73,,,,
166,build my own!,1,19,FALSE,200,3,10,336,336,171.635,,,,
167,build my own!,1,19,FALSE,200,3,10,339,339,173.725,,,,
168,build my own!,1,19,FALSE,200,3,10,337,337,170.205,,,,
169,build my own!,1,19,FALSE,200,3,10,351,351,177.665,,,,
170,build my own!,1,19,FALSE,200,3,10,355,355,177.46,,,,
171,build my own!,1,19,FALSE,200,3,10,337,337,167.37,,,,
172,build my own!,1,19,FALSE,200,3,10,347,347,175.095,,,,
173,build my own!,1,19,FALSE,200,3,10,326,326,162.205,,,,
174,build my own!,1,19,FALSE,200,3,10,333,333,167.25,,,,
176,build my own!,1,19,FALSE,200,3,10,336,336,170.365,,,,
175,build my own!,1,19,FALSE,200,3,10,360,360,179.82,,,,
177,build my own!,1,19,FALSE,200,3,10,329,329,161.19,,,,
178,build my own!,1,19,FALSE,200,3,10,350,350,175.485,,,,
179,build my own!,1,19,FALSE,200,3,10,349,349,170.13,,,,
180,build my own!,1,19,FALSE,200,3,10,337,337,171.14,,,,
